Team,Players,90s,Yellow_Cards,Red_Cards,Second_Yellow_Cards,Fouls_Committed,Fouls_Drawn,Offsides,Crosses,Interceptions,Tackles_Won,Progression,yellow_cards_per_90,FBref_Source,Progression_Source
Algeria,22,4.0,3,0,0,29,40,4,40,30,44,Knockout,0.75,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats
Argentina,24,9.0,15,1,1,113,100,22,104,82,93,Knockout,1.6666666666666667,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats
Australia,23,4.3,5,0,0,46,38,1,70,29,34,Knockout,1.1627906976744187,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats
Austria,20,4.0,5,0,0,47,28,11,59,41,29,Knockout,1.25,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats
Belgium,23,6.3,6,1,0,78,68,8,114,50,47,Knockout,0.9523809523809524,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats
Bosnia–Herz,23,4.0,7,1,0,60,38,2,57,34,37,Knockout,1.75,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats
Brazil,22,5.0,8,0,0,51,53,11,93,48,46,Knockout,1.6,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats
Cabo Verde,21,4.3,5,0,0,27,47,7,50,52,45,Knockout,1.1627906976744187,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats
Canada,22,5.0,11,0,0,72,73,7,146,36,51,Knockout,2.2,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats
Colombia,21,5.3,8,0,0,70,64,19,70,38,33,Knockout,1.509433962264151,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats
Congo DR,21,4.0,6,0,0,44,45,9,57,22,41,Knockout,1.5,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats
Côte d'Ivoire,22,4.0,4,0,0,29,36,4,61,40,48,Knockout,1.0,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats
Croatia,19,4.0,4,0,0,45,47,8,67,25,32,Knockout,1.0,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats
Curaçao,22,3.0,7,0,0,32,31,5,23,39,26,Group-stage eliminated,2.3333333333333335,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats
Czechia,21,3.0,1,0,0,37,31,5,57,19,19,Group-stage eliminated,0.3333333333333333,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats
Ecuador,21,4.0,8,1,0,49,38,2,83,38,49,Knockout,2.0,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats
Egypt,21,5.3,12,0,0,59,67,4,82,44,54,Knockout,2.2641509433962264,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats
England,24,8.3,8,1,0,81,116,15,163,51,77,Knockout,0.9638554216867469,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats
France,22,8.0,6,0,0,84,73,14,109,65,77,Knockout,0.75,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats
Germany,23,4.3,3,0,0,51,42,4,105,25,53,Knockout,0.6976744186046512,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats
Ghana,22,4.0,6,0,0,56,47,8,48,31,40,Knockout,1.5,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats
Haiti,18,3.0,7,0,0,55,44,7,37,29,28,Group-stage eliminated,2.3333333333333335,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats
IR Iran,20,3.0,6,0,0,35,23,9,37,32,36,Group-stage eliminated,2.0,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats
