Team,Players,90s,Yellow_Cards,Red_Cards,Second_Yellow_Cards,Fouls_Committed,Fouls_Drawn,Offsides,Crosses,Interceptions,Tackles_Won,Progression,yellow_cards_per_90,FBref_Source,Progression_Source,yellow_cards_90
Sweden,22,4.0,5,0,0,43,49,9,59,31,30,Knockout,1.25,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats,1.25
England,24,8.3,8,1,0,81,116,15,163,51,77,Knockout,0.9638554216867468,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats,0.9638554216867469
Paraguay,24,5.3,9,1,0,66,60,5,43,53,88,Knockout,1.69811320754717,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats,1.6981132075471699
Germany,23,4.3,3,0,0,51,42,4,105,25,53,Knockout,0.6976744186046512,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats,0.6976744186046512
Canada,22,5.0,11,0,0,72,73,7,146,36,51,Knockout,2.2,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats,2.2
Colombia,21,5.3,8,0,0,70,64,19,70,38,33,Knockout,1.509433962264151,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats,1.509433962264151
Switzerland,23,6.7,8,1,1,87,89,13,111,52,52,Knockout,1.1940298507462686,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats,1.1940298507462686
Portugal,22,5.0,7,0,0,44,60,10,92,30,39,Knockout,1.4,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats,1.4
Croatia,19,4.0,4,0,0,45,47,8,67,25,32,Knockout,1.0,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats,1.0
Algeria,22,4.0,3,0,0,29,40,4,40,30,44,Knockout,0.75,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats,0.75
Belgium,23,6.3,6,1,0,78,68,8,114,50,47,Knockout,0.9523809523809524,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats,0.9523809523809524
France,22,8.0,6,0,0,84,73,14,109,65,77,Knockout,0.75,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats,0.75
Bosnia–Herz,23,4.0,7,1,0,60,38,2,57,34,37,Knockout,1.75,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats,1.75
Ecuador,21,4.0,8,1,0,49,38,2,83,38,49,Knockout,2.0,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats,2.0
Côte d'Ivoire,22,4.0,4,0,0,29,36,4,61,40,48,Knockout,1.0,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats,1.0
Norway,25,6.3,3,0,0,58,41,5,78,44,67,Knockout,0.4761904761904762,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats,0.4761904761904762
Curaçao,22,3.0,7,0,0,32,31,5,23,39,26,Group-stage eliminated,2.333333333333333,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats,2.3333333333333335
Czechia,21,3.0,1,0,0,37,31,5,57,19,19,Group-stage eliminated,0.3333333333333333,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats,0.3333333333333333
Jordan,20,3.0,4,0,0,31,21,3,27,33,31,Group-stage eliminated,1.3333333333333333,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats,1.3333333333333333
Uruguay,17,3.0,5,1,0,31,29,14,92,32,25,Group-stage eliminated,1.6666666666666667,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats,1.6666666666666667
Türkiye,23,3.0,2,0,0,31,38,7,79,18,39,Group-stage eliminated,0.6666666666666666,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats,0.6666666666666666
Scotland,20,3.0,5,0,0,42,39,2,50,17,25,Group-stage eliminated,1.6666666666666667,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats,1.6666666666666667
Panama,20,3.0,5,0,0,46,33,6,59,15,27,Group-stage eliminated,1.6666666666666667,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats,1.6666666666666667
Qatar,22,3.0,4,2,0,36,28,4,28,25,24,Group-stage eliminated,1.3333333333333333,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats,1.3333333333333333
