Squad,Group,stage_reached,exposure_90s,Gls,Sh,SoT,PK,PKatt,npGls,npSh,npSoT,volume,accuracy,finishing,np_goals_per_90
Algeria,J,Knockout,4.0,5,44,15,0,0,5,44,15,11.0,0.3409090909090909,0.3333333333333333,1.25
Argentina,J,Knockout,8.997632202052092,18,114,44,1,3,17,111,43,12.336578947368421,0.38738738738738737,0.3953488372093023,1.8893859649122806
Australia,D,Knockout,4.3343653250774,2,42,12,0,0,2,42,12,9.69,0.2857142857142857,0.16666666666666666,0.4614285714285714
Belgium,G,Knockout,6.334841628959276,13,112,34,1,1,12,111,33,17.522142857142857,0.2972972972972973,0.36363636363636365,1.8942857142857144
Bosnia-Herzegovina,B,Knockout,4.0,4,37,14,0,0,4,37,14,9.25,0.3783783783783784,0.2857142857142857,1.0
Brazil,C,Knockout,5.0,10,74,30,1,2,9,72,29,14.4,0.4027777777777778,0.3103448275862069,1.8
Cabo Verde,H,Knockout,4.332449160035367,4,49,12,0,0,4,49,12,11.31,0.24489795918367346,0.3333333333333333,0.9232653061224491
Canada,B,Knockout,5.0,8,80,31,0,0,8,80,31,16.0,0.3875,0.25806451612903225,1.6
Congo DR,K,Knockout,4.0,5,41,9,1,1,4,40,8,10.0,0.2,0.5,1.0
Cote d'Ivoire,E,Knockout,4.0,5,45,14,0,0,5,45,14,11.25,0.3111111111111111,0.35714285714285715,1.25
Curacao,E,Group,2.998965873836608,1,29,7,0,0,1,29,7,9.67,0.2413793103448276,0.14285714285714285,0.333448275862069
Czechia,A,Group,3.000882612533098,2,34,8,0,0,2,34,8,11.33,0.23529411764705882,0.25,0.6664705882352941
Egypt,G,Knockout,5.334394904458598,8,67,18,0,0,8,67,18,12.56,0.26865671641791045,0.4444444444444444,1.4997014925373136
England,L,Knockout,8.333333333333334,20,118,53,3,3,17,115,50,13.799999999999999,0.43478260869565216,0.34,2.04
France,I,Knockout,8.00230282095567,20,139,59,1,2,19,137,58,17.120071942446046,0.4233576642335766,0.3275862068965517,2.37431654676259
Germany,E,Knockout,4.332552693208432,11,74,28,1,1,10,73,27,16.849189189189186,0.3698630136986301,0.37037037037037035,2.3081081081081076
Haiti,C,Group,3.000968054211036,1,31,7,0,0,1,31,7,10.33,0.22580645161290322,0.14285714285714285,0.33322580645161287
Iran,G,Group,3.0008110300081103,3,37,11,0,1,3,36,11,11.996756756756756,0.3055555555555556,0.2727272727272727,0.9997297297297297
Iraq,I,Group,3.0,1,21,2,0,0,1,21,2,7.0,0.09523809523809523,0.5,0.3333333333333333
Japan,F,Knockout,4.0,8,34,13,0,0,8,34,13,8.5,0.38235294117647056,0.6153846153846154,2.0
Jordan,J,Group,3.0,3,24,9,0,0,3,24,9,8.0,0.375,0.3333333333333333,1.0
Korea Republic,A,Group,2.999062792877226,2,32,11,0,0,2,32,11,10.67,0.34375,0.18181818181818182,0.666875
Mexico,A,Knockout,5.0,10,70,21,1,1,9,69,20,13.8,0.2898550724637681,0.45,1.8
Morocco,C,Knockout,6.336088154269972,10,69,26,0,0,10,69,26,10.89,0.37681159420289856,0.38461538461538464,1.5782608695652174
Netherlands,F,Knockout,4.3314500941619585,10,46,22,0,0,10,46,22,10.620000000000001,0.4782608695652174,0.45454545454545453,2.3086956521739133
New Zealand,G,Group,3.000968054211036,4,31,15,0,0,4,31,15,10.33,0.4838709677419355,0.26666666666666666,1.3329032258064515
Norway,I,Knockout,6.333973128598848,12,66,29,0,1,12,65,29,10.262121212121212,0.4461538461538462,0.41379310344827586,1.8945454545454545
Panama,L,Group,2.999062792877226,0,32,7,0,0,0,32,7,10.67,0.21875,0.0,0.0
Paraguay,D,Knockout,5.335365853658537,3,35,8,0,0,3,35,8,6.56,0.22857142857142856,0.375,0.5622857142857143
Portugal,K,Knockout,5.0,7,62,17,1,1,6,61,16,12.2,0.26229508196721313,0.375,1.2
Saudi Arabia,H,Group,2.998236331569665,1,17,7,0,0,1,17,7,5.67,0.4117647058823529,0.14285714285714285,0.33352941176470585
Spain,H,Knockout,8.333333333333332,13,140,54,1,1,12,139,53,16.680000000000003,0.381294964028777,0.22641509433962265,1.4400000000000002
Sweden,F,Knockout,4.0,7,48,23,0,0,7,48,23,12.0,0.4791666666666667,0.30434782608695654,1.75
Tunisia,F,Group,3.0,2,18,6,0,0,2,18,6,6.0,0.3333333333333333,0.3333333333333333,0.6666666666666666
United States,D,Knockout,5.0,9,59,19,0,0,9,59,19,11.8,0.3220338983050847,0.47368421052631576,1.8
Uzbekistan,K,Group,3.0,2,18,5,0,0,2,18,5,6.0,0.2777777777777778,0.4,0.6666666666666666
