Team,#_Players,90s,Yellow_Cards,Red_Cards,Second_Yellow_Red,Fouls_Committed,Fouls_Drawn,Offsides,Crosses,Interceptions,Tackles_Won,Own_Goals_FBref,Own_Goals_FIFA,Goals_Conceded,Forced_Turnovers,Ball_Recovery_Time_s,Defensive_Pressures_Applied,Defensive_Pressures_Directly_Applied
Algeria,22,4.0,3,0,0,29,40,4,40,30,44,0,0,9,181,60.22,1015,152
Argentina,24,9.0,15,1,1,113,100,22,104,82,93,0,0,8,351,128.75,2054,349
Australia,23,4.3,5,0,0,46,38,1,70,29,34,1,1,3,174,74.09,1229,162
Austria,20,4.0,5,0,0,47,28,11,59,41,29,0,0,9,150,83.93,1220,209
Belgium,23,6.3,6,1,0,78,68,8,114,50,47,0,0,7,263,91.79,1582,227
Bosnia and Herzegovina,23,4.0,7,1,0,60,38,2,57,34,37,0,0,8,168,53.83,998,157
Brazil,22,5.0,8,0,0,51,53,11,93,48,46,0,0,4,186,96.34,1338,214
Cabo Verde,21,4.3,5,0,0,27,47,7,50,52,45,1,1,5,191,76.43,1252,166
Canada,22,5.0,11,0,0,72,73,7,146,36,51,0,0,6,228,66.43,1183,228
Colombia,21,5.3,8,0,0,70,64,19,70,38,33,0,0,1,194,71.88,1088,191
Congo DR,21,4.0,6,0,0,44,45,9,57,22,41,0,0,5,172,85.2,1234,179
Côte d'Ivoire,22,4.0,4,0,0,29,36,4,61,40,48,0,0,4,176,70.71,1123,188
Croatia,19,4.0,4,0,0,45,47,8,67,25,32,0,0,7,149,70.2,1011,174
Curaçao,22,3.0,7,0,0,32,31,5,23,39,26,0,0,9,121,56.6,983,160
Czechia,21,3.0,1,0,0,37,31,5,57,19,19,0,0,6,119,56.67,857,121
Ecuador,21,4.0,8,1,0,49,38,2,83,38,49,0,0,4,176,53.67,925,205
Egypt,21,5.3,12,0,0,59,67,4,82,44,54,2,2,7,224,82.81,1360,238
England,24,8.3,8,1,0,81,116,15,163,51,77,0,0,12,274,127.95,1931,338
France,22,8.0,6,0,0,84,73,14,109,65,77,0,0,10,330,123.18,1972,343
Germany,23,4.3,3,0,0,51,42,4,105,25,53,0,0,5,189,49.48,915,187
Ghana,22,4.0,6,0,0,56,47,8,48,31,40,0,0,3,156,89.73,1160,183
Haiti,18,3.0,7,0,0,55,44,7,37,29,28,0,0,8,113,49.18,810,143
IR Iran,20,3.0,6,0,0,35,23,9,37,32,36,0,0,3,132,47.85,874,148
Iraq,25,3.0,4,1,0,27,31,1,28,23,35,1,1,12,122,61.26,851,155
Japan,24,4.0,4,0,0,55,30,4,57,19,32,0,0,5,139,80.59,1118,191
Jordan,20,3.0,4,0,0,31,21,3,27,33,31,1,1,8,139,68.21,1148,166
Korea Republic,20,3.0,4,0,0,25,31,8,54,20,23,0,0,3,106,44.64,563,86
Mexico,25,5.0,4,1,0,58,47,5,86,36,32,0,0,3,178,73.86,1065,177
Morocco,23,6.3,7,0,0,74,90,9,83,40,61,1,1,6,262,82.47,1436,301
Netherlands,22,4.3,3,0,0,44,43,8,74,36,27,0,0,5,165,65.67,939,143
New Zealand,17,3.0,4,0,0,32,24,4,44,24,21,0,0,10,118,47.94,844,140
Norway,25,6.3,3,0,0,58,41,5,78,44,67,0,0,11,193,99.36,1419,231
Panama,20,3.0,5,0,0,46,33,6,59,15,27,0,0,4,147,46.44,753,175
Paraguay,24,5.3,9,1,0,66,60,5,43,53,88,1,1,6,249,88.79,1689,331
Portugal,22,5.0,7,0,0,44,60,10,92,30,39,0,0,3,188,81.25,1282,161
Qatar,22,3.0,4,2,0,36,28,4,28,25,24,2,2,10,101,60.48,832,122
Saudi Arabia,18,3.0,6,0,0,29,26,3,22,29,36,1,1,5,128,53.18,1035,140
Scotland,20,3.0,5,0,0,42,39,2,50,17,25,0,0,4,107,70.31,775,109
Senegal,22,4.3,3,0,0,36,48,10,79,31,29,0,0,9,165,68.01,1055,170
South Africa,19,4.0,5,2,0,38,46,8,41,47,38,0,0,4,158,73.07,1081,166
Spain,22,8.3,6,0,0,101,89,21,165,64,88,0,0,1,399,90.89,1941,292
Sweden,22,4.0,5,0,0,43,49,9,59,31,30,0,0,10,150,72.94,859,150
Switzerland,23,6.7,8,1,1,87,89,13,111,52,52,0,1,6,285,84.65,1581,281
Tunisia,20,3.0,1,0,0,27,32,9,36,27,36,1,1,12,109,69.13,802,131
Türkiye,23,3.0,2,0,0,31,38,7,79,18,39,0,0,5,121,29.94,490,123
Uruguay,17,3.0,5,1,0,31,29,14,92,32,25,0,0,4,133,40.21,745,130
USA,24,5.0,7,1,0,56,66,11,74,60,42,0,0,8,220,65.83,1076,216
Uzbekistan,23,3.0,4,0,0,45,29,3,37,33,39,1,1,11,135,50.0,944,142
