Team,#_Players,90s,Yellow_Cards,Red_Cards,Second_Yellow_Red,Fouls_Committed,Fouls_Drawn,Offsides,Crosses,Interceptions,Tackles_Won,Own_Goals_FBref,Own_Goals_FIFA,Goals_Conceded,Forced_Turnovers,Ball_Recovery_Time_s,Defensive_Pressures_Applied,Defensive_Pressures_Directly_Applied,TacklesWon_per90,Interceptions_per90,ForcedTurnovers_per90,DefensivePressures_per90,GoalsConceded_per90,TacklesWon_per90_z,Interceptions_per90_z,ForcedTurnovers_per90_z,DefensivePressures_per90_z,Defensive_Score,Activity_Group
Tunisia,20,3.0,1,0,0,27,32,9,36,27,36,1,1,12,109,69.13,802,131,12.0,9.0,36.333333333333336,267.3333333333333,4.0,1.0452126968178548,0.43127373433512883,-0.864039438074175,0.23926336923919891,0.21292759057950184,High
Morocco,23,6.3,7,0,0,74,90,9,83,40,61,1,1,6,262,82.47,1436,301,9.682539682539684,6.34920634920635,41.58730158730159,227.93650793650795,0.9523809523809524,0.08741473780253127,-0.8922131576911503,0.47447279811990273,-0.6435961421770755,-0.24348044098644794,Low
IR Iran,20,3.0,6,0,0,35,23,9,37,32,36,0,0,3,132,47.85,874,148,12.0,10.666666666666666,44.0,291.3333333333333,1.0,1.0452126968178548,1.2634062113576394,1.0891370274295697,0.777089147346132,1.043711270737799,High
Ghana,22,4.0,6,0,0,56,47,8,48,31,40,0,0,3,156,89.73,1160,183,10.0,7.75,39.0,290.0,0.75,0.21861993766764368,-0.1928256234317544,-0.18467371094243817,0.7472099374513028,0.14708263518618847,High
Argentina,24,9.0,15,1,1,113,100,22,104,82,93,0,0,8,351,128.75,2054,349,10.333333333333334,9.11111111111111,39.0,228.22222222222223,0.8888888888888888,0.35638539752601245,0.486749232803296,-0.18467371094243817,-0.6371934543424693,0.005316866261100228,High
Mexico,25,5.0,4,1,0,58,47,5,86,36,32,0,0,3,178,73.86,1065,177,6.4,7.2,35.6,213.0,0.6,-1.2692470288027362,-0.4674293408491829,-1.0508650130354031,-0.9783144339751075,-0.9414639541656075,Low
Cabo Verde,21,4.3,5,0,0,27,47,7,50,52,45,1,1,5,191,76.43,1252,166,10.465116279069768,12.093023255813954,44.418604651162795,291.16279069767444,1.1627906976744187,0.4108508118886234,1.975556796344347,1.195781647386297,0.7732673879409803,1.088864160890062,High
Uruguay,17,3.0,5,1,0,31,29,14,92,32,25,0,0,4,133,40.21,745,130,8.333333333333334,10.666666666666666,44.333333333333336,248.33333333333334,1.3333333333333333,-0.4702073616241987,1.2634062113576394,1.1740577433210375,-0.1865153717621225,0.445185305323089,High
Korea Republic,20,3.0,4,0,0,25,31,8,54,20,23,0,0,3,106,44.64,563,86,7.666666666666667,6.666666666666667,35.333333333333336,187.66666666666666,1.0,-0.7457382813409359,-0.7337117334963864,-1.1188015857485767,-1.5460194219768706,-1.0360677556406923,Low
France,22,8.0,6,0,0,84,73,14,109,65,77,0,0,10,330,123.18,1972,343,9.625,8.125,41.25,246.5,1.25,0.06363379532697909,-0.005595816101689431,0.3885411213249653,-0.22759928536751345,0.05474495379568538,High
